CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 15   Acyc,c 15   Binary,c 15   Bounded,c 15   Choice,c 15   Conflict,c 15   Count,c 15   Executed,c 15   Loop,c 15   Minimize,c 15   Other,c 15   Ternary,c 15 Acyc-Edges,c 15 Answer,c 15 Atoms,c 15 Backjumps,c 15 Bodies,c 15 CPU Time,c 15 Calls,c 15 Choices,c 15 Conflicts,c 15 Constraints,c 15 Equivalences,c 15 Lemmas,c 15 Model-Level,c 15 Models,c 15 Optimization,c 15 Problems,c 15 Restarts,c 15 Rules,c 15 Time,c 15 Variables,c 1526   Acyc,c 1526   Binary,c 1526   Bounded,c 1526   Choice,c 1526   Conflict,c 1526   Count,c 1526   Executed,c 1526   Loop,c 1526   Minimize,c 1526   Other,c 1526   Ternary,c 1526 Acyc-Edges,c 1526 Answer,c 1526 Atoms,c 1526 Backjumps,c 1526 Bodies,c 1526 CPU Time,c 1526 Calls,c 1526 Choices,c 1526 Conflicts,c 1526 Constraints,c 1526 Equivalences,c 1526 Lemmas,c 1526 Model-Level,c 1526 Models,c 1526 Optimization,c 1526 Problems,c 1526 Restarts,c 1526 Rules,c 1526 Time,c 1526 Variables,c 3600   Acyc,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Acyc-Edges,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables,c 726   Acyc,c 726   Binary,c 726   Bounded,c 726   Choice,c 726   Conflict,c 726   Count,c 726   Executed,c 726   Loop,c 726   Minimize,c 726   Other,c 726   Ternary,c 726 Acyc-Edges,c 726 Answer,c 726 Atoms,c 726 Backjumps,c 726 Bodies,c 726 CPU Time,c 726 Calls,c 726 Choices,c 726 Conflicts,c 726 Constraints,c 726 Equivalences,c 726 Lemmas,c 726 Model-Level,c 726 Models,c 726 Optimization,c 726 Problems,c 726 Restarts,c 726 Rules,c 726 Time,c 726 Variables,c 731   Acyc,c 731   Binary,c 731   Bounded,c 731   Choice,c 731   Conflict,c 731   Count,c 731   Executed,c 731   Loop,c 731   Minimize,c 731   Other,c 731   Ternary,c 731 Acyc-Edges,c 731 Answer,c 731 Atoms,c 731 Backjumps,c 731 Bodies,c 731 CPU Time,c 731 Calls,c 731 Choices,c 731 Conflicts,c 731 Constraints,c 731 Equivalences,c 731 Lemmas,c 731 Model-Level,c 731 Models,c 731 Optimization,c 731 Problems,c 731 Restarts,c 731 Rules,c 731 Time,c 731 Variables,c 784   Acyc,c 784   Binary,c 784   Bounded,c 784   Choice,c 784   Conflict,c 784   Count,c 784   Executed,c 784   Loop,c 784   Minimize,c 784   Other,c 784   Ternary,c 784 Acyc-Edges,c 784 Answer,c 784 Atoms,c 784 Backjumps,c 784 Bodies,c 784 CPU Time,c 784 Calls,c 784 Choices,c 784 Conflicts,c 784 Constraints,c 784 Equivalences,c 784 Lemmas,c 784 Model-Level,c 784 Models,c 784 Optimization,c 784 Problems,c 784 Restarts,c 784 Rules,c 784 Time,c 784 Variables
3581.2,2026.0,instances/bms10000/paper4.lp,08-ASP-edge-trendy-usc-4000/bms10000/paper4.lp.log.gz,0,0,3600.1,unknown,0.5,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953038.0,230.0,291.0,480519.0,25228208.0,3843.0,25227917.0,17800075.0,1.0,0.0,15922.0,953038.0,2423322.0,25228208.0,2886387.0,3581.133,1.0,47039401.0,25229145.0,1446842.0,2394519.0,43028283.0,0.0,938.0,12347.0,5301802.0,1.0,3599.997,975807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3582.4,2026.0,instances/bms10000/sum.lp,08-ASP-edge-trendy-usc-4000/bms10000/sum.lp.log.gz,0,0,3600.2,unknown,2.0,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996994.0,916.0,755.0,2002497.0,12761607.0,3626.0,12760852.0,16585984.0,1.0,0.0,30258.0,3996994.0,10030763.0,12761607.0,12017068.0,3582.203,1.0,105795487.0,12762813.0,10043657.0,10004173.0,29347591.0,0.0,1207.0,38154.0,22040051.0,1.0,3599.996,4017446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3583.6,2026.0,instances/bms10000/world192.txt.lp,08-ASP-edge-trendy-usc-4000/bms10000/world192.txt.lp.log.gz,0,0,3600.1,unknown,0.4,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798606.0,273.0,232.0,403303.0,18531479.0,3875.0,18531247.0,327416.0,1.0,0.0,10754.0,798606.0,2036361.0,18531479.0,2422375.0,3583.556,1.0,33294422.0,18532382.0,1206802.0,2008482.0,18858895.0,0.0,904.0,14589.0,4450800.0,1.0,3600.006,820472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520.0,2026.0,instances/bms10000/book1.lp,08-ASP-edge-trendy-usc-4000/bms10000/book1.lp.log.gz,1,1215,1526.9,opt,0.5,1.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015758.0,1194.0,754.0,511879.0,4464331.0,3848.0,4463577.0,19239560.0,1.0,0.0,91881.0,1015758.0,1.0,2579071.0,4464331.0,3073576.0,1519.362,1.0,581887075.0,4465359.0,1535106.0,2551290.0,23703891.0,63649.0,1.0,1215.0,1028.0,5772.0,5644737.0,1526.216,1037490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578.2,2026.0,instances/bms10000/asyoulik.txt.lp,08-ASP-edge-trendy-usc-4000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.2,unknown,0.4,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798488.0,172.0,191.0,403244.0,29613490.0,3879.0,29613299.0,9277059.0,1.0,0.0,8366.0,798488.0,2037052.0,29613490.0,2422679.0,3578.137,1.0,46975852.0,29614429.0,1215779.0,2008162.0,38890549.0,0.0,940.0,14290.0,4451823.0,1.0,3600.003,821350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785.1,2026.0,instances/bms10000/pic.lp,08-ASP-edge-trendy-usc-4000/bms10000/pic.lp.log.gz,1,2,789.3,opt,8.5,1.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15996000.0,1.0,0.0,8002000.0,1.0,3999.0,1.0,3998.0,1.0,0.0,1.0,15996000.0,1.0,40023993.0,1.0,48007994.0,780.331,1.0,3985.0,4.0,40025980.0,40001999.0,3999.0,2.0,1.0,2.0,3.0,0.0,88023988.0,784.478,16011993.0
3579.6,2026.0,instances/bms10000/paper3.lp,08-ASP-edge-trendy-usc-4000/bms10000/paper3.lp.log.gz,0,0,3600.1,unknown,0.5,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847916.0,391.0,320.0,427958.0,19016874.0,3842.0,19016554.0,11227400.0,1.0,0.0,18447.0,847916.0,2160015.0,19016874.0,2570504.0,3579.464,1.0,34702901.0,19017792.0,1283901.0,2131717.0,30244274.0,0.0,919.0,13814.0,4722626.0,1.0,3599.997,870181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729.6,2026.0,instances/bms10000/ptt5.lp,08-ASP-edge-trendy-usc-4000/bms10000/ptt5.lp.log.gz,1,2,731.5,opt,8.2,1.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15996000.0,1.0,0.0,8002000.0,1.0,3999.0,1.0,3998.0,1.0,0.0,1.0,15996000.0,1.0,40023993.0,1.0,48007994.0,724.916,1.0,3985.0,4.0,40025980.0,40001999.0,3999.0,2.0,1.0,2.0,3.0,0.0,88023988.0,726.833,16011993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733.6,2026.0,instances/bms10000/aaa.txt.lp,08-ASP-edge-trendy-usc-4000/bms10000/aaa.txt.lp.log.gz,1,2,736.5,opt,8.1,1.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15996000.0,1.0,0.0,8002000.0,1.0,3999.0,1.0,3998.0,1.0,0.0,1.0,15996000.0,1.0,40023993.0,1.0,48007994.0,728.905,1.0,3985.0,4.0,40025980.0,40001999.0,3999.0,2.0,1.0,2.0,3.0,0.0,88023988.0,731.658,16011993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,2026.0,instances/bms10000/random.txt.lp,08-ASP-edge-trendy-usc-4000/bms10000/random.txt.lp.log.gz,1,2647,16.1,opt,0.2,1.0,NaN,250274.0,179.0,171.0,129137.0,24772.0,3877.0,24601.0,6112.0,1.0,0.0,3115.0,250274.0,1.0,666548.0,24772.0,777686.0,15.681,1.0,1648707.0,25864.0,312809.0,637684.0,30884.0,94279.0,1.0,2647.0,1092.0,11.0,1436357.0,15.776,273137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585.7,2026.0,instances/bms10000/paper2.lp,08-ASP-edge-trendy-usc-4000/bms10000/paper2.lp.log.gz,0,0,3600.1,unknown,0.5,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919090.0,266.0,307.0,463545.0,21456597.0,3829.0,21456290.0,11467145.0,1.0,0.0,18225.0,919090.0,2337927.0,21456597.0,2784112.0,3585.599,1.0,56436169.0,21457592.0,1393706.0,2309632.0,32923742.0,0.0,996.0,13569.0,5114155.0,1.0,3599.997,941344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584.0,2026.0,instances/bms10000/pi.txt.lp,08-ASP-edge-trendy-usc-4000/bms10000/pi.txt.lp.log.gz,0,0,3600.1,unknown,0.7,2.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601148.0,2036.0,988.0,804574.0,440714.0,3982.0,439726.0,26288070.0,1.0,0.0,151189.0,1601148.0,4043300.0,440714.0,4829875.0,3583.881,1.0,301181768.0,441916.0,4058178.0,4014869.0,26728784.0,0.0,1203.0,1908.0,8865193.0,1.0,3599.997,1623578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
